[2026-02-22 19:02:49] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'inter'), ('applicable', 'oct')])
[2026-02-22 19:03:14] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'inter'), ('applicable', 'oct')])
[2026-02-22 19:04:26] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'oct')])
[2026-02-22 19:10:07] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'oct')])
[2026-02-22 19:22:00] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'oct')])
[2026-02-22 19:27:22] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('type', 'intra'), ('applicable', 'oct')])
[2026-02-22 20:48:30] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', '')])
[2026-02-22 20:57:34] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 21:18:24] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 21:21:32] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 21:28:06] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 21:31:23] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 21:38:11] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 21:41:43] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 21:47:30] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 21:51:17] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 22:48:51] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
[2026-02-22 23:27:35] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', '')])
[2026-02-22 23:27:42] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '22'), ('type', 'intra')])
