[2026-02-24 09:48:18] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-24 12:46:45] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-24 12:49:46] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-24 13:18:38] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', '')])
[2026-02-24 13:18:55] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-24 14:48:15] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-24 15:09:20] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-24 15:39:28] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', '')])
[2026-02-24 15:39:49] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-24 15:42:33] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
[2026-02-24 16:17:09] User ->  Optimization Start for leg2 Requested JSON -> ImmutableMultiDict([('month', 'feb'), ('year', '2026'), ('day', '24'), ('type', 'intra')])
