[2025-02-08 15:34:14] User -> Cost for leg2 Added ->admin@pds| Requested JSON -> {"cost_xGbz12Y8VmzDPe":"100"} |  | feb
[2025-02-08 15:43:46] {"id":"xGbz12Y8VmzDPe"}
[2025-02-08 15:43:46] User -> Cost for leg2 Reset ->admin@pds| Requested JSON -> {"id":"xGbz12Y8VmzDPe"} | 
[2025-02-08 15:43:51] User -> Cost for leg2 Added ->admin@pds| Requested JSON -> {"cost_xGbz12Y8VmzDPe":"120"} |  | feb
[2025-02-08 15:44:20] User -> District added ->admin@pds| Requested JSON -> {"name":"qwer"}
[2025-02-08 15:48:40] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Dummy","uid":"67a72e7c2c6e2"}
[2025-02-08 15:49:10] User -> District deleted -> admin@pds| Requested JSON -> {"uid":"67a72e7c2c6e2"} | Dummy
[2025-02-08 15:58:10] User -> Warehouse InActive -> admin@pds| abcd
[2025-02-08 15:58:13] User -> Warehouse Active -> admin@pds| abcd
[2025-02-08 15:59:13] User -> Warehouse Edit ->admin@pds| Requested JSON -> {"name":"abcd","uniqueid":"WH_67010ddeac06","active":"1","type":"motorable","latitude":"20.820425","storage":"11600","district":"Balod","id":"430101","warehousetype":"swc","longitude":"81.05615"}
[2025-02-08 15:59:42] User -> Warehouse added ->admin@pds| Requested JSON -> {"name":"test","type":"motorable","latitude":"9.89","storage":"250","district":"Balod","id":"123qwe","warehousetype":"swc","longitude":"76.7661"}
[2025-02-08 16:02:10] User -> Warehouse added ->admin@pds| Requested JSON -> {"name":"test","type":"motorable","latitude":"9.89","storage":"250","district":"Balod","id":"1234ertt","warehousetype":"swc","longitude":"76.7661"}
[2025-02-08 16:02:35] User -> Warehouse deleted -> admin@pds| Requested JSON -> {"uid":"WH_67a73216039b"} | Test
[2025-02-08 16:02:45] User -> Warehouse deleted -> admin@pds| Requested JSON -> {"uid":"WH_67a732aa8271"} | Test
[2025-02-08 16:02:56] User -> Warehouse deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-02-08 16:04:00] User -> Warehouse Added -> admin@pds| abcd
[2025-02-08 16:04:00] User -> Warehouse Added -> admin@pds| abcd
[2025-02-08 16:04:00] User -> Warehouse Added -> admin@pds| abcd
[2025-02-08 16:04:00] User -> Warehouse Added -> admin@pds| abcd
[2025-02-08 16:04:00] User -> Warehouse Added -> admin@pds| abcd
[2025-02-08 16:04:00] User -> Warehouse Added -> admin@pds| abcd
[2025-02-08 16:04:00] User -> Warehouse Added -> admin@pds| abcd
[2025-02-08 16:04:00] User -> Warehouse Added -> admin@pds| abcd
[2025-02-08 16:04:01] User -> Warehouse Added -> admin@pds| abcd
