[2025-02-10 10:26:29] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Balode","uid":"6641afff2187f"}
[2025-02-10 10:42:18] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Balod","uid":"6641afff2187f"}
[2025-02-10 10:42:37] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Balod","uid":"6641afff2187f"}
[2025-02-10 11:41:55] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Durga","uid":"6641b0d43910d"}
[2025-02-10 11:42:10] User -> District Name Edit->admin@pds| Requested JSON -> {"name":"Durg","uid":"6641b0d43910d"}
[2025-02-10 11:54:56] User -> Warehouse deleted -> admin@pds| Requested JSON -> {"uid":"WH_67a75aaaca66"} | Test
[2025-02-10 11:55:02] User -> Warehouse deleted -> admin@pds| Requested JSON -> {"uid":"WH_67a75b766196"} | Testdata
[2025-02-10 19:04:26] User -> FPS InActive -> admin@pds| Abcd
[2025-02-10 19:04:28] User -> FPS Active -> admin@pds| Abcd
[2025-02-10 19:04:49] User -> Verify User ->admin@pds| Requested JSON -> {"uid":"67a9939f8215a"} | Surguja@pds
[2025-02-10 19:11:19] User -> Warehouse deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-02-10 19:11:33] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:34] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:34] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:34] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:35] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:36] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
[2025-02-10 19:11:37] User -> Warehouse Added -> admin@pds| abcd
