[2026-02-18 16:55:22] User -> Mill Edit ->admin@pds| Requested JSON -> {"name":"efg","uniqueid":"MILL_698181d806","active":"1","type":"arwa","latitude":"20.95010773","incoming_min_mota":"29929.3","incoming_min_patla":"7440","incoming_min_saran":"11140","district":"Balod","id":"MA495517","milling_capacity":"48509.3","milling_capacity1":"1200","milling_capacity2":"1111","longitude":"81.23496874","outgoing_min_mota":"20052.631","outgoing_min_patla":"5034.648","outgoing_min_saran":"7463.8"}
[2026-02-18 16:56:52] User -> Mill deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
[2026-02-18 16:57:02] User -> Mill Added -> admin@pds| efg
