[2025-02-10 11:56:01] district_user -> Warehouse added ->Durg@pds| Requested JSON -> {"name":"test","type":"motorable","latitude":"9.89","storage":"250","district":"Durg","id":"123werr","warehousetype":"swc","longitude":"76.7661"}
[2025-02-10 12:00:01] district_user -> FPS added ->Durg@pds| Requested JSON -> {"name":"test","type":"Model FPS","latitude":"9.89","longitude":"76.7661","district":"Durg","id":"123qwerttyyu","demand":"4567","demand_rice":"5678"}
[2025-02-10 12:01:24] district_user -> FPS Edit ->Durg@pds| Requested JSON -> {"name":"test","uniqueid":"FPS_67a99ce9705","active":"1","type":"Model FPS","latitude":"9.89","longitude":"76.7661","district":"Durg","id":"123qwerttyyu","demand":"4567","demand_rice":"56"}
[2025-02-10 12:23:24] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"FPS_67a99ce9705"} | Test
[2025-02-10 12:23:51] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-02-10 12:38:50] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-02-10 12:40:48] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 12:40:48] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 12:40:48] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 12:40:48] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 12:40:48] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 12:40:49] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 12:40:49] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 12:40:49] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 12:58:17] district_user -> Warehouse deleted -> Khiragarh Chuhikhadan Gandai@pds| Requested JSON -> {"uid":"WH_66fd34077464"} | abcd
[2025-02-10 12:58:23] district_user -> Warehouse deleted -> Khiragarh Chuhikhadan Gandai@pds| Requested JSON -> {"uid":"WH_66fd34077334"} | abcd
[2025-02-10 12:58:50] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"FPS_67a9a679262"} | abcd
[2025-02-10 13:00:37] district_user -> FPS Edit ->Khiragarh Chuhikhadan Gandai@pds| Requested JSON -> {"name":"abcd","uniqueid":"FPS_67a9a679152","active":"1","type":"Model FPS","latitude":"21.717962","longitude":"80.797491","district":"Khiragarh Chuhikhadan Gandai","id":"422006053","demand":"173.49","demand_rice":"1.4"}
[2025-02-10 13:00:40] User -> All Smart FPS InActive -> Khiragarh Chuhikhadan Gandai@pds
[2025-02-10 13:00:42] User -> All Smart FPS Active -> Khiragarh Chuhikhadan Gandai@pds
[2025-02-10 13:06:19] district_user -> Warehouse deleted -> Khiragarh Chuhikhadan Gandai@pds| Requested JSON -> {"uid":"all"} | all
[2025-02-10 13:06:55] User -> FPS deleted -> admin@pds| Requested JSON -> {"uid":"all"} | all
[2025-02-10 13:08:19] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:20] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:21] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:22] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:22] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:22] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:22] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:23] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:23] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:23] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:23] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:24] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
[2025-02-10 13:08:25] User -> FPS Added -> Khiragarh Chuhikhadan Gandai@pds| abcd
